order_id,order_date,brand,model_name,category,gender,size,color,base_price_usd,discount_percent,final_price_usd,units_sold,revenue_usd,payment_method,sales_channel,country,customer_income_level,customer_rating,Revenue,discount_band,order_value,price_tier,discount_value,year,month,year_month
ORD100013,07-12-2023,Adidas,Model-261,Training,Unisex,7,Black,205,5,194.75,4,779,Bank Transfer,Retail Store,USA,Medium,4.8,779,0_to_10,779,Premium,10.25,2023,12,2023-12
ORD100014,03-01-2026,Reebok,Model-351,Training,Women,6,White,73,30,51.1,3,153.3,Wallet,Online,USA,Low,4.9,153.3,21_to_30,153.3,Budget,21.9,2026,1,2026-01
ORD100015,06-04-2021,Adidas,Model-316,Running,Unisex,9,Black,141,20,112.8,4,451.2,Cash,Retail Store,UK,Medium,4.2,451.2,11_to_20,451.2,Mid,28.2,2021,4,2021-04
ORD100016,15-04-2024,Puma,Model-912,Running,Men,6,Grey,100,20,80,3,240,Cash,Online,India,High,3,240,11_to_20,240,Budget,20,2024,4,2024-04
ORD100017,09-11-2023,Reebok,Model-747,Training,Women,8,White,68,0,68,4,272,Card,Retail Store,Pakistan,Low,3.4,272,0_to_10,272,Budget,0,2023,11,2023-11
ORD100018,07-02-2022,Adidas,Model-388,Lifestyle,Women,8,Red,195,10,175.5,3,526.5,Card,Retail Store,Germany,High,3.1,526.5,0_to_10,526.5,Premium,19.5,2022,2,2022-02
ORD100019,22-05-2023,Adidas,Model-300,Gym,Men,9,Black,100,15,85,3,255,Wallet,Online,India,Low,3.7,255,11_to_20,255,Budget,15,2023,5,2023-05
ORD100020,09-02-2020,Nike,Model-904,Lifestyle,Women,8,Grey,107,30,74.9,4,299.6,Wallet,Retail Store,UK,Low,4.2,299.6,21_to_30,299.6,Budget,32.1,2020,2,2020-02
ORD100021,06-08-2020,Reebok,Model-712,Basketball,Unisex,11,Black,94,0,94,3,282,Bank Transfer,Online,USA,High,4.7,282,0_to_10,282,Budget,0,2020,8,2020-08
ORD100022,19-07-2026,Adidas,Model-866,Lifestyle,Unisex,11,Red,64,5,60.8,3,182.4,Card,Online,India,Medium,4,182.4,0_to_10,182.4,Budget,3.2,2026,7,2026-07
ORD100023,18-06-2024,Nike,Model-991,Training,Men,10,Black,196,5,186.2,2,372.4,Wallet,Online,USA,High,3.4,372.4,0_to_10,372.4,Premium,9.8,2024,6,2024-06
ORD100024,21-12-2026,Nike,Model-195,Gym,Women,9,Blue,155,0,155,4,620,Bank Transfer,Online,Pakistan,Low,4.8,620,0_to_10,620,Premium,0,2026,12,2026-12
ORD100025,31-12-2023,Nike,Model-270,Gym,Men,10,Grey,210,20,168,3,504,Wallet,Online,India,Low,3.5,504,11_to_20,504,Premium,42,2023,12,2023-12
ORD100026,16-10-2018,Reebok,Model-185,Gym,Women,9,White,219,10,197.1,3,591.3,Bank Transfer,Retail Store,Germany,Medium,4.9,591.3,0_to_10,591.3,Premium,21.9,2018,10,2018-10
ORD100027,06-10-2023,ASICS,Model-745,Gym,Men,9,Red,104,30,72.8,1,72.8,Wallet,Retail Store,UAE,High,4.6,72.8,21_to_30,72.8,Budget,31.2,2023,10,2023-10
ORD100028,29-05-2019,Puma,Model-430,Lifestyle,Unisex,7,Red,103,15,87.55,2,175.1,Wallet,Retail Store,Pakistan,High,3.2,175.1,11_to_20,175.1,Budget,15.45,2019,5,2019-05
ORD100029,30-11-2021,Puma,Model-732,Running,Women,9,Black,188,0,188,3,564,Card,Online,USA,High,3.7,564,0_to_10,564,Premium,0,2021,11,2021-11
ORD100030,21-03-2023,Nike,Model-510,Training,Women,6,Grey,62,30,43.4,4,173.6,Wallet,Retail Store,USA,High,4,173.6,21_to_30,173.6,Budget,18.6,2023,3,2023-03
ORD100031,23-07-2021,New Balance,Model-763,Running,Women,8,Grey,110,5,104.5,4,418,Card,Online,UAE,Medium,3.6,418,0_to_10,418,Mid,5.5,2021,7,2021-07
ORD100032,13-10-2023,Adidas,Model-212,Lifestyle,Men,11,Grey,155,0,155,4,620,Cash,Online,Pakistan,Low,4.9,620,0_to_10,620,Premium,0,2023,10,2023-10
ORD100033,11-04-2024,ASICS,Model-906,Lifestyle,Men,7,Grey,111,15,94.35,2,188.7,Card,Retail Store,India,Medium,4.4,188.7,11_to_20,188.7,Budget,16.65,2024,4,2024-04
ORD100034,12-09-2020,New Balance,Model-180,Training,Men,8,Red,160,0,160,4,640,Bank Transfer,Online,UAE,Medium,4.2,640,0_to_10,640,Premium,0,2020,9,2020-09
ORD100035,23-04-2022,New Balance,Model-954,Training,Men,10,Grey,189,15,160.65,2,321.3,Wallet,Retail Store,USA,Medium,3.7,321.3,11_to_20,321.3,Premium,28.35,2022,4,2022-04
ORD100036,26-11-2019,Nike,Model-229,Basketball,Unisex,10,Grey,188,10,169.2,2,338.4,Cash,Online,Pakistan,Medium,4,338.4,0_to_10,338.4,Premium,18.8,2019,11,2019-11
ORD100037,27-05-2025,Adidas,Model-346,Basketball,Unisex,9,Grey,219,30,153.3,4,613.2,Cash,Retail Store,Germany,Low,3.2,613.2,21_to_30,613.2,Premium,65.7,2025,5,2025-05
ORD100038,20-02-2025,Adidas,Model-393,Lifestyle,Men,10,Grey,182,0,182,3,546,Card,Online,UK,High,4.3,546,0_to_10,546,Premium,0,2025,2,2025-02
ORD100039,01-09-2020,New Balance,Model-223,Training,Unisex,8,Blue,198,0,198,1,198,Wallet,Retail Store,USA,Medium,3.4,198,0_to_10,198,Premium,0,2020,9,2020-09
ORD100040,10-02-2020,Adidas,Model-863,Lifestyle,Men,8,Black,152,10,136.8,4,547.2,Cash,Retail Store,India,Low,3.4,547.2,0_to_10,547.2,Mid,15.2,2020,2,2020-02
ORD100041,18-05-2020,ASICS,Model-246,Basketball,Unisex,9,White,149,10,134.1,3,402.3,Card,Online,USA,Medium,4.3,402.3,0_to_10,402.3,Mid,14.9,2020,5,2020-05
ORD100042,20-09-2026,Adidas,Model-739,Gym,Men,7,Blue,111,0,111,1,111,Wallet,Online,UK,Low,4.7,111,0_to_10,111,Mid,0,2026,9,2026-09
ORD100043,08-02-2021,ASICS,Model-572,Gym,Unisex,7,Blue,70,15,59.5,1,59.5,Bank Transfer,Retail Store,UAE,Medium,4.8,59.5,11_to_20,59.5,Budget,10.5,2021,2,2021-02
ORD100044,17-10-2025,Nike,Model-863,Training,Women,7,Black,101,10,90.9,3,272.7,Card,Online,UK,Medium,5,272.7,0_to_10,272.7,Budget,10.1,2025,10,2025-10
ORD100045,30-10-2019,Nike,Model-996,Gym,Women,11,Red,119,0,119,2,238,Card,Online,Germany,High,4.8,238,0_to_10,238,Mid,0,2019,10,2019-10
ORD100046,27-12-2025,Nike,Model-108,Lifestyle,Women,6,White,96,10,86.4,3,259.2,Cash,Online,UAE,Medium,3.7,259.2,0_to_10,259.2,Budget,9.6,2025,12,2025-12
ORD100047,02-11-2023,Reebok,Model-251,Basketball,Women,11,Red,107,10,96.3,4,385.2,Wallet,Online,Pakistan,High,4.6,385.2,0_to_10,385.2,Budget,10.7,2023,11,2023-11
ORD100048,21-11-2022,ASICS,Model-724,Basketball,Women,9,Red,211,15,179.35,3,538.05,Cash,Retail Store,UAE,Medium,4.8,538.05,11_to_20,538.05,Premium,31.65,2022,11,2022-11
ORD100049,03-07-2022,New Balance,Model-211,Gym,Women,11,Grey,143,30,100.1,3,300.3,Card,Online,UAE,Low,4.9,300.3,21_to_30,300.3,Mid,42.9,2022,7,2022-07
ORD100050,07-05-2018,Puma,Model-995,Lifestyle,Women,11,Black,212,20,169.6,2,339.2,Cash,Online,USA,Low,4.1,339.2,11_to_20,339.2,Premium,42.4,2018,5,2018-05
ORD100051,01-01-2021,Adidas,Model-780,Training,Unisex,9,White,113,10,101.7,4,406.8,Cash,Retail Store,USA,Low,4.4,406.8,0_to_10,406.8,Mid,11.3,2021,1,2021-01
ORD100052,19-01-2024,Puma,Model-915,Lifestyle,Women,9,Red,92,30,64.4,1,64.4,Bank Transfer,Retail Store,USA,Medium,3.7,64.4,21_to_30,64.4,Budget,27.6,2024,1,2024-01
ORD100053,01-11-2019,Adidas,Model-739,Running,Men,6,White,195,10,175.5,1,175.5,Card,Retail Store,UK,High,4.1,175.5,0_to_10,175.5,Premium,19.5,2019,11,2019-11
ORD100054,16-01-2023,Reebok,Model-121,Basketball,Unisex,11,Grey,174,30,121.8,3,365.4,Card,Online,UAE,Medium,4.2,365.4,21_to_30,365.4,Mid,52.2,2023,1,2023-01
ORD100055,05-12-2018,ASICS,Model-875,Lifestyle,Men,8,Blue,168,10,151.2,2,302.4,Wallet,Retail Store,USA,High,3.9,302.4,0_to_10,302.4,Premium,16.8,2018,12,2018-12
ORD100056,26-12-2022,New Balance,Model-383,Training,Women,6,Blue,80,30,56,1,56,Wallet,Retail Store,India,Medium,3.4,56,21_to_30,56,Budget,24,2022,12,2022-12
ORD100057,05-05-2026,Reebok,Model-646,Running,Men,6,Red,120,10,108,4,432,Wallet,Online,India,Medium,3.1,432,0_to_10,432,Mid,12,2026,5,2026-05
ORD100058,02-05-2021,New Balance,Model-472,Gym,Unisex,11,Red,217,20,173.6,2,347.2,Wallet,Online,Pakistan,Medium,3.7,347.2,11_to_20,347.2,Premium,43.4,2021,5,2021-05
ORD100059,26-04-2020,Reebok,Model-401,Running,Women,10,Red,96,20,76.8,1,76.8,Cash,Online,Pakistan,High,4.1,76.8,11_to_20,76.8,Budget,19.2,2020,4,2020-04
ORD100060,26-06-2022,Nike,Model-260,Gym,Women,8,White,175,20,140,1,140,Bank Transfer,Retail Store,USA,Low,3.3,140,11_to_20,140,Mid,35,2022,6,2022-06
ORD100061,07-10-2026,Adidas,Model-665,Lifestyle,Unisex,7,Black,84,5,79.8,3,239.4,Bank Transfer,Retail Store,UK,High,4.9,239.4,0_to_10,239.4,Budget,4.2,2026,10,2026-10
ORD100062,08-05-2025,New Balance,Model-953,Training,Unisex,7,Blue,83,5,78.85,4,315.4,Cash,Retail Store,USA,Medium,3.5,315.4,0_to_10,315.4,Budget,4.15,2025,5,2025-05
ORD100063,20-05-2025,Adidas,Model-203,Basketball,Unisex,6,Blue,189,5,179.55,1,179.55,Cash,Online,India,Medium,3.3,179.55,0_to_10,179.55,Premium,9.45,2025,5,2025-05
ORD100064,13-08-2024,Reebok,Model-858,Basketball,Women,7,Blue,98,20,78.4,2,156.8,Cash,Retail Store,Pakistan,High,4.6,156.8,11_to_20,156.8,Budget,19.6,2024,8,2024-08
ORD100065,24-07-2026,ASICS,Model-605,Gym,Unisex,6,Black,212,20,169.6,4,678.4,Cash,Online,Germany,Low,4.3,678.4,11_to_20,678.4,Premium,42.4,2026,7,2026-07
ORD100066,15-04-2026,Nike,Model-611,Lifestyle,Women,11,Blue,79,0,79,4,316,Cash,Retail Store,Pakistan,Medium,4.6,316,0_to_10,316,Budget,0,2026,4,2026-04
ORD100067,03-08-2024,Nike,Model-933,Gym,Men,11,Black,174,15,147.9,2,295.8,Card,Retail Store,Pakistan,Low,3.7,295.8,11_to_20,295.8,Premium,26.1,2024,8,2024-08
ORD100068,29-12-2018,Reebok,Model-249,Running,Men,7,Red,122,30,85.4,1,85.4,Cash,Online,India,Low,4.7,85.4,21_to_30,85.4,Budget,36.6,2018,12,2018-12
ORD100069,04-07-2020,Adidas,Model-937,Running,Women,11,Black,108,15,91.8,2,183.6,Bank Transfer,Retail Store,UAE,High,4.1,183.6,11_to_20,183.6,Budget,16.2,2020,7,2020-07
ORD100070,27-07-2024,ASICS,Model-152,Training,Men,9,Black,160,0,160,4,640,Card,Retail Store,Germany,Medium,3.4,640,0_to_10,640,Premium,0,2024,7,2024-07
ORD100071,16-01-2026,Adidas,Model-976,Training,Men,9,Black,64,15,54.4,2,108.8,Card,Online,USA,Medium,3.8,108.8,11_to_20,108.8,Budget,9.6,2026,1,2026-01
ORD100072,25-11-2019,New Balance,Model-368,Basketball,Women,7,Red,158,15,134.3,4,537.2,Wallet,Online,India,Low,4,537.2,11_to_20,537.2,Mid,23.7,2019,11,2019-11
ORD100073,17-07-2022,Adidas,Model-219,Gym,Men,8,Grey,217,10,195.3,1,195.3,Card,Retail Store,Pakistan,Medium,3.9,195.3,0_to_10,195.3,Premium,21.7,2022,7,2022-07
ORD100074,13-11-2025,Reebok,Model-216,Running,Unisex,11,Blue,149,20,119.2,2,238.4,Cash,Retail Store,UK,High,4.7,238.4,11_to_20,238.4,Mid,29.8,2025,11,2025-11
ORD100075,16-05-2024,Nike,Model-740,Lifestyle,Men,7,Black,196,15,166.6,1,166.6,Wallet,Retail Store,USA,Low,4.8,166.6,11_to_20,166.6,Premium,29.4,2024,5,2024-05
ORD100076,01-06-2022,New Balance,Model-659,Basketball,Women,6,Black,93,30,65.1,2,130.2,Card,Online,Pakistan,Medium,4.3,130.2,21_to_30,130.2,Budget,27.9,2022,6,2022-06
ORD100077,24-10-2022,Nike,Model-288,Running,Unisex,10,Red,176,0,176,4,704,Card,Online,India,High,4.2,704,0_to_10,704,Premium,0,2022,10,2022-10
ORD100078,03-06-2021,Reebok,Model-534,Running,Men,10,Blue,135,5,128.25,4,513,Wallet,Online,Pakistan,Low,3.2,513,0_to_10,513,Mid,6.75,2021,6,2021-06
ORD100079,07-07-2025,Adidas,Model-168,Gym,Women,6,White,88,30,61.6,4,246.4,Cash,Online,USA,High,3.6,246.4,21_to_30,246.4,Budget,26.4,2025,7,2025-07
ORD100080,26-09-2023,Reebok,Model-531,Running,Men,10,Blue,203,5,192.85,2,385.7,Wallet,Online,India,High,3.9,385.7,0_to_10,385.7,Premium,10.15,2023,9,2023-09
ORD100081,25-09-2020,Nike,Model-456,Gym,Men,7,Blue,92,30,64.4,2,128.8,Card,Retail Store,UK,High,4.2,128.8,21_to_30,128.8,Budget,27.6,2020,9,2020-09
ORD100082,25-12-2026,Reebok,Model-279,Basketball,Men,7,Black,128,15,108.8,2,217.6,Cash,Retail Store,Germany,Medium,4.3,217.6,11_to_20,217.6,Mid,19.2,2026,12,2026-12
ORD100083,04-01-2023,Puma,Model-424,Lifestyle,Women,10,Black,155,0,155,4,620,Card,Online,USA,Medium,3.3,620,0_to_10,620,Premium,0,2023,1,2023-01
ORD100084,24-06-2024,ASICS,Model-995,Running,Men,8,Black,83,5,78.85,1,78.85,Bank Transfer,Online,India,Low,4.6,78.85,0_to_10,78.85,Budget,4.15,2024,6,2024-06
ORD100085,16-12-2023,New Balance,Model-479,Basketball,Unisex,6,Grey,199,5,189.05,3,567.15,Card,Online,Pakistan,High,3.9,567.15,0_to_10,567.15,Premium,9.95,2023,12,2023-12
ORD100086,18-11-2024,Reebok,Model-676,Basketball,Women,6,Black,160,15,136,3,408,Cash,Online,USA,High,4.3,408,11_to_20,408,Mid,24,2024,11,2024-11
ORD100087,15-02-2022,Nike,Model-496,Running,Unisex,9,Red,102,15,86.7,1,86.7,Cash,Online,India,Medium,3.2,86.7,11_to_20,86.7,Budget,15.3,2022,2,2022-02
ORD100088,01-09-2024,ASICS,Model-853,Gym,Women,8,Grey,189,20,151.2,3,453.6,Cash,Retail Store,Pakistan,Low,3.7,453.6,11_to_20,453.6,Premium,37.8,2024,9,2024-09
ORD100089,12-01-2020,Adidas,Model-701,Training,Men,11,White,149,20,119.2,2,238.4,Bank Transfer,Retail Store,UK,High,4.6,238.4,11_to_20,238.4,Mid,29.8,2020,1,2020-01
ORD100090,06-12-2019,Nike,Model-600,Training,Men,7,White,164,15,139.4,2,278.8,Cash,Retail Store,USA,Low,4.3,278.8,11_to_20,278.8,Mid,24.6,2019,12,2019-12
ORD100091,30-11-2019,Reebok,Model-376,Running,Unisex,10,Blue,216,15,183.6,1,183.6,Bank Transfer,Online,India,Medium,3.6,183.6,11_to_20,183.6,Premium,32.4,2019,11,2019-11
ORD100092,25-12-2021,Reebok,Model-291,Gym,Unisex,8,White,197,20,157.6,1,157.6,Cash,Online,USA,High,5,157.6,11_to_20,157.6,Premium,39.4,2021,12,2021-12
ORD100093,28-02-2021,Nike,Model-195,Training,Men,11,Grey,95,5,90.25,1,90.25,Wallet,Online,Pakistan,High,4.1,90.25,0_to_10,90.25,Budget,4.75,2021,2,2021-02
ORD100094,26-07-2024,ASICS,Model-624,Running,Men,6,Grey,71,0,71,3,213,Card,Online,Pakistan,Medium,3.5,213,0_to_10,213,Budget,0,2024,7,2024-07
ORD100095,31-08-2021,ASICS,Model-161,Gym,Women,9,Blue,89,0,89,1,89,Bank Transfer,Online,USA,Low,4.7,89,0_to_10,89,Budget,0,2021,8,2021-08
ORD100096,02-02-2022,Puma,Model-118,Gym,Women,6,White,145,20,116,3,348,Cash,Retail Store,Germany,Low,3.1,348,11_to_20,348,Mid,29,2022,2,2022-02
ORD100097,24-01-2019,Reebok,Model-554,Gym,Unisex,9,White,206,15,175.1,1,175.1,Cash,Online,UK,Medium,4.9,175.1,11_to_20,175.1,Premium,30.9,2019,1,2019-01
ORD100098,07-01-2026,New Balance,Model-605,Training,Men,10,Blue,187,15,158.95,3,476.85,Wallet,Online,India,Medium,3.2,476.85,11_to_20,476.85,Premium,28.05,2026,1,2026-01
ORD100099,23-03-2025,Reebok,Model-990,Running,Women,10,Grey,199,0,199,4,796,Card,Online,UK,Low,4.5,796,0_to_10,796,Premium,0,2025,3,2025-03
ORD100100,18-10-2024,Adidas,Model-208,Lifestyle,Women,10,Blue,210,0,210,3,630,Bank Transfer,Online,UK,Medium,4,630,0_to_10,630,Premium,0,2024,10,2024-10
ORD100101,20-05-2020,ASICS,Model-262,Basketball,Men,10,Red,201,5,190.95,1,190.95,Cash,Retail Store,Pakistan,High,3.7,190.95,0_to_10,190.95,Premium,10.05,2020,5,2020-05
ORD100102,07-08-2025,Reebok,Model-173,Running,Men,7,Grey,205,15,174.25,1,174.25,Wallet,Online,UK,Medium,4.2,174.25,11_to_20,174.25,Premium,30.75,2025,8,2025-08
ORD100103,16-02-2023,New Balance,Model-267,Lifestyle,Men,7,Grey,66,30,46.2,1,46.2,Cash,Retail Store,India,Low,3.8,46.2,21_to_30,46.2,Budget,19.8,2023,2,2023-02
ORD100104,30-03-2025,New Balance,Model-616,Lifestyle,Women,10,Black,86,5,81.7,2,163.4,Bank Transfer,Online,UK,Medium,3.2,163.4,0_to_10,163.4,Budget,4.3,2025,3,2025-03
ORD100105,15-01-2018,ASICS,Model-441,Running,Unisex,9,Red,142,20,113.6,1,113.6,Wallet,Retail Store,UAE,Medium,3.5,113.6,11_to_20,113.6,Mid,28.4,2018,1,2018-01
ORD100106,27-11-2020,Reebok,Model-231,Basketball,Men,9,Black,130,0,130,1,130,Card,Retail Store,India,Medium,3.8,130,0_to_10,130,Mid,0,2020,11,2020-11
ORD100107,02-08-2022,Adidas,Model-975,Gym,Women,11,Grey,218,10,196.2,1,196.2,Wallet,Online,USA,High,4.4,196.2,0_to_10,196.2,Premium,21.8,2022,8,2022-08
ORD100108,31-08-2019,Puma,Model-225,Lifestyle,Men,8,White,149,10,134.1,3,402.3,Card,Retail Store,India,High,3.5,402.3,0_to_10,402.3,Mid,14.9,2019,8,2019-08
ORD100109,09-06-2025,Reebok,Model-575,Lifestyle,Unisex,10,Red,185,5,175.75,4,703,Card,Online,Germany,Low,4.6,703,0_to_10,703,Premium,9.25,2025,6,2025-06
ORD100110,23-04-2019,Puma,Model-447,Basketball,Unisex,11,Grey,60,10,54,1,54,Cash,Retail Store,Germany,Medium,3.8,54,0_to_10,54,Budget,6,2019,4,2019-04
ORD100111,29-06-2025,New Balance,Model-216,Basketball,Men,11,Black,172,0,172,4,688,Bank Transfer,Retail Store,Germany,Low,4.6,688,0_to_10,688,Premium,0,2025,6,2025-06
ORD100112,04-03-2020,Reebok,Model-914,Basketball,Men,10,Blue,219,20,175.2,1,175.2,Card,Online,UK,High,3.1,175.2,11_to_20,175.2,Premium,43.8,2020,3,2020-03
ORD100113,20-01-2022,Puma,Model-501,Lifestyle,Women,6,Red,206,15,175.1,1,175.1,Cash,Online,UAE,Low,3.4,175.1,11_to_20,175.1,Premium,30.9,2022,1,2022-01
ORD100114,06-09-2019,Puma,Model-665,Training,Unisex,11,Black,202,0,202,1,202,Bank Transfer,Online,Germany,High,3.8,202,0_to_10,202,Premium,0,2019,9,2019-09
ORD100115,13-02-2025,New Balance,Model-883,Running,Unisex,11,Red,71,5,67.45,4,269.8,Card,Online,India,High,3.9,269.8,0_to_10,269.8,Budget,3.55,2025,2,2025-02
ORD100116,08-12-2019,Reebok,Model-221,Training,Men,9,White,215,20,172,4,688,Cash,Online,Germany,Low,4.3,688,11_to_20,688,Premium,43,2019,12,2019-12
ORD100117,09-10-2022,Reebok,Model-277,Running,Women,9,Red,195,5,185.25,4,741,Wallet,Online,Pakistan,Medium,3.2,741,0_to_10,741,Premium,9.75,2022,10,2022-10
ORD100118,17-04-2023,Puma,Model-601,Basketball,Unisex,6,White,100,15,85,4,340,Bank Transfer,Retail Store,USA,High,3.6,340,11_to_20,340,Budget,15,2023,4,2023-04
ORD100119,03-12-2019,New Balance,Model-646,Basketball,Men,10,Grey,216,20,172.8,2,345.6,Wallet,Retail Store,UK,High,4.9,345.6,11_to_20,345.6,Premium,43.2,2019,12,2019-12
ORD100120,13-01-2018,Reebok,Model-549,Lifestyle,Men,7,White,174,20,139.2,3,417.6,Wallet,Online,UAE,Medium,4.9,417.6,11_to_20,417.6,Mid,34.8,2018,1,2018-01
ORD100121,22-12-2020,New Balance,Model-900,Basketball,Women,11,Blue,168,20,134.4,3,403.2,Cash,Retail Store,USA,Medium,4.6,403.2,11_to_20,403.2,Mid,33.6,2020,12,2020-12
ORD100122,07-04-2018,Adidas,Model-162,Training,Women,6,White,70,20,56,2,112,Cash,Online,UAE,Low,4.9,112,11_to_20,112,Budget,14,2018,4,2018-04
ORD100123,22-03-2025,Nike,Model-709,Basketball,Women,6,Black,86,0,86,1,86,Card,Retail Store,India,Medium,3.8,86,0_to_10,86,Budget,0,2025,3,2025-03
ORD100124,23-01-2018,Adidas,Model-922,Gym,Unisex,11,Blue,188,20,150.4,4,601.6,Wallet,Retail Store,UAE,Medium,4.4,601.6,11_to_20,601.6,Premium,37.6,2018,1,2018-01
ORD100125,09-01-2019,New Balance,Model-870,Lifestyle,Women,10,White,154,20,123.2,2,246.4,Cash,Retail Store,UK,Medium,4.2,246.4,11_to_20,246.4,Mid,30.8,2019,1,2019-01
ORD100126,10-06-2023,Adidas,Model-557,Lifestyle,Unisex,8,White,112,20,89.6,2,179.2,Card,Online,USA,Low,3.5,179.2,11_to_20,179.2,Budget,22.4,2023,6,2023-06
ORD100127,07-02-2018,ASICS,Model-100,Running,Women,8,Grey,137,0,137,2,274,Cash,Online,UK,Medium,3.5,274,0_to_10,274,Mid,0,2018,2,2018-02
ORD100128,15-07-2023,New Balance,Model-980,Training,Men,7,Blue,63,30,44.1,1,44.1,Bank Transfer,Retail Store,UK,High,3.7,44.1,21_to_30,44.1,Budget,18.9,2023,7,2023-07
ORD100129,20-08-2018,New Balance,Model-773,Lifestyle,Women,11,Red,131,5,124.45,2,248.9,Card,Retail Store,India,Low,4.5,248.9,0_to_10,248.9,Mid,6.55,2018,8,2018-08
ORD100130,24-07-2025,Adidas,Model-153,Lifestyle,Men,9,Black,182,5,172.9,4,691.6,Bank Transfer,Retail Store,USA,Low,4.1,691.6,0_to_10,691.6,Premium,9.1,2025,7,2025-07
ORD100131,31-08-2019,Adidas,Model-866,Gym,Men,10,Black,116,0,116,4,464,Card,Online,Pakistan,Medium,4.2,464,0_to_10,464,Mid,0,2019,8,2019-08
ORD100132,03-02-2026,Nike,Model-202,Lifestyle,Women,11,Grey,125,10,112.5,3,337.5,Cash,Retail Store,India,High,4.2,337.5,0_to_10,337.5,Mid,12.5,2026,2,2026-02
ORD100133,19-05-2019,New Balance,Model-949,Training,Women,11,Black,97,5,92.15,2,184.3,Bank Transfer,Retail Store,UK,High,4.1,184.3,0_to_10,184.3,Budget,4.85,2019,5,2019-05
ORD100134,22-07-2026,ASICS,Model-580,Lifestyle,Women,9,Grey,111,0,111,2,222,Bank Transfer,Online,Germany,Medium,3.6,222,0_to_10,222,Mid,0,2026,7,2026-07
ORD100135,15-06-2024,Reebok,Model-232,Lifestyle,Women,10,White,165,10,148.5,1,148.5,Wallet,Retail Store,India,Medium,3.3,148.5,0_to_10,148.5,Premium,16.5,2024,6,2024-06
ORD100136,21-01-2020,New Balance,Model-607,Running,Unisex,9,Grey,204,5,193.8,1,193.8,Card,Retail Store,Germany,Medium,3.9,193.8,0_to_10,193.8,Premium,10.2,2020,1,2020-01
ORD100137,06-09-2018,ASICS,Model-549,Lifestyle,Women,10,White,93,30,65.1,1,65.1,Bank Transfer,Retail Store,Germany,High,3.4,65.1,21_to_30,65.1,Budget,27.9,2018,9,2018-09
ORD100138,17-07-2025,ASICS,Model-210,Training,Unisex,6,Blue,102,10,91.8,3,275.4,Wallet,Online,UAE,High,3.9,275.4,0_to_10,275.4,Budget,10.2,2025,7,2025-07
